MAINPREDIR,MAINPRETYPE,MAINNAME,MAINSUFDIR,MAINSUFTYPE,MAINFULNAME,ALS1PREDIR,ALS1PRETYPE,ALS1NAME,ALS1SUFDIR,ALS1SUFTYPE,ALS1FULNAME,ALS2PREDIR,ALS2PRETYPE,ALS2NAME,ALS2SUFDIR,ALS2SUFTYPE,ALS2FULNAME,ALS3PREDIR,ALS3PRETYPE,ALS3NAME,ALS3SUFDIR,ALS3SUFTYPE,ALS3FULNAME,OWNERSHIP,MAINTAINEDBY,FIPSCODE,NUMBLANES,FUNCTIONCODE,SURFACE,SURFACETYPE,ONEWAY,ONEWAYDIR,PAVSEGID,STATUS,COMMENTS,NOTES,ADDRNG_L_F,ADDRNG_L_T,ADDRNG_R_F,ADDRNG_R_T,CITY_L,CITY_R,COUNTY_L,COUNTY_R,STATE_L,STATE_R,ZIP_L,ZIP_R,COUNTRYCODE,BLOCKID_L,BLOCKID_R,CREATED_DATE,LAST_UPDATED,LAST_EDITOR,CURVE,ROAD_NUMB,CARTO_SYMB,ROW_WIDTH,PAVE_WIDTH,Enabled,GlobalID,created_user,last_edited_user,last_edited_date,Shape_Length
,,BULK PLANT,,RD,BULK PLANT RD,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,27,2,28,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/17/2021 15:50,TSPROULE,,,LOCAL,,,1,{06547A51-E32E-4FDD-9B1F-8F53AC725A09},,,,1184.938655835503596
,,SHEPARDS,,WAY,SHEPARDS WAY,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1233,1243,1245,1253,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{06BADD0C-192F-4B08-9B15-7B21E093F459},,,,3300.390283180673578
,NV,208,,HWY,NV HWY 208,,,WELLINGTON CUT-OFF,,,WELLINGTON CUT-OFF,,,,,,,,,,,,,,,,,,,,0,,,,,,2765,2769,2764,2768,WEL,WEL,LYN,LYN,NV,NV,89444,89444,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,SR,,,1,{070C5DD7-D5E5-44B7-A32E-2CEB222FCB7D},,,,378.317951426503441
,,SECOND,,AVE,SECOND AVE,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,301,315,300,314,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{07154315-23DB-4748-AB10-2F6C982FC6D2},,,,430.155296228187353
,,VANFLEET,,LN,VANFLEET LN,,,,,,,,,,,,,,,,,,,,,,,,,GR,0,,,,,,1,31,2,32,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{0734401E-5941-4E68-9935-E8CBAD1125F0},,,,1426.157148520720284
,,WILLOW,,DR,WILLOW DR,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,15,0,14,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{073F3FF4-C47C-46D6-824C-24633D3249E3},,,,370.022899196767867
,,CIRCLE,,DR,CIRCLE DR,,,,,,,,,,,,,,,,,,,,M,,,C,,,0,,,,,,1,15,2,14,WEL,WEL,LYN,LYN,NV,NV,89444,89444,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{076D8BB4-A864-487C-A1C7-5588E317DDB3},,,,840.772608879486484
,,MOBIL,,CT,MOBIL CT,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,3,4,8,5,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{07BB5588-F664-4B67-B57E-96F05977C656},,,,56.072562993489967
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,CAR,CAR,LYN,LYN,NV,NV,89706,89706,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,DIRT,,,1,{07DE0153-65FA-4BDF-BEA8-E581B9A813B9},,,,1300.513816601460803
,,HAMER,,LN,HAMER LN,,,,,,,,,,,,,,,,,,,,,,,,,NM,0,,,,,,71,109,72,100,YER,YER,LYN,LYN,NV,NV,89447,89447,US,,,6/9/2021 18:27,6/9/2021 18:27,SDE,,,LOCAL,,,1,{09543F72-CA88-4FE0-B7AE-8AB47D62A38D},,,,1994.042328805130182
